group_value,n_patients,n_patient_drug_chains,mean_fills_per_chain,late_event_rate,share_chains_any_late,share_chains_chronic_late,share_chains_stable_on_time,single_fill_only,stable_on_time,chronic_late,mixed_pattern,mostly_on_time_with_rare_late
5801605,47248,47248,2.0340966813410093,0.8382283714361735,0.5218633592956315,0.4336903149339655,0.029419234676600067,0.4487174060277684,0.029419234676600067,0.4336903149339655,0.0871571283440569,0.001015916017609211
5801609,42749,42749,1.8325107020047253,0.847930540335497,0.4596364827247421,0.39053545112166366,0.02734566890453578,0.5130178483707222,0.02734566890453578,0.39053545112166366,0.0685396149617535,0.0005614166413249433
5801606,39006,39006,1.762164795159719,0.8563019274109456,0.43298466902527816,0.375455058196175,0.026098548941188536,0.5409167820335333,0.026098548941188536,0.375455058196175,0.05699123211813567,0.0005383787109675435
5801608,39003,39003,1.7527113298977002,0.8556441174466926,0.43281286054918855,0.3746378483706382,0.026485142168551138,0.5407019972822603,0.026485142168551138,0.3746378483706382,0.05791862164448888,0.00025639053406148243
5801607,36315,36315,1.642489329478177,0.8644779701697239,0.38953600440589287,0.3433842764697783,0.025719399697094865,0.5847445958970122,0.025719399697094865,0.3433842764697783,0.045986506953049705,0.00016522098306484924
5801603,30043,30043,1.4935592317677995,0.8716617210682492,0.32034084478913555,0.28888593016676095,0.024564790466997305,0.6550943647438672,0.024564790466997305,0.28888593016676095,0.0314549146223746,
5801600,28319,28319,1.435855785868145,0.8823624726565664,0.29506691620466824,0.27045446520004235,0.02076344503690102,0.6841696387584307,0.02076344503690102,0.27045446520004235,0.02454182704191532,7.062396271054769e-05
5801602,27553,27553,1.4040213406888542,0.8767517067912325,0.2806590933836606,0.2577940696112946,0.022356912132980074,0.6969839944833593,0.022356912132980074,0.2577940696112946,0.022792436395310856,7.258737705513011e-05
5801604,27773,27773,1.4056457710726245,0.8709391088230073,0.27908400244842113,0.2548878407086019,0.02315198214092824,0.6977640154106506,0.02315198214092824,0.2548878407086019,0.02419616173981925,
0049071,19902,19902,1.277359059391016,0.8797101449275362,0.20294442769570897,0.18862425886845544,0.016932971560647173,0.7801226007436438,0.016932971560647173,0.18862425886845544,0.014320168827253543,
