risk_decile,n,mean_predicted_risk,observed_late_rate,mean_predicted_risk_pct,observed_late_rate_pct,abs_gap_pct_points,lift_vs_average
1,7289,0.0579769,0.6006310879407326,5.7976904,60.06310879407326,54.26541840253273,0.77541622387531
2,7289,0.092060335,0.7354918370146797,9.206034,73.54918370146797,64.34314999480293,0.9495217853347503
3,7289,0.12271185,0.7782960625600219,12.271185,77.8296062560022,65.55842133473755,1.0047821466524973
4,7289,0.14650813,0.8029908080669502,14.650813,80.29908080669502,65.64826770397285,1.0366631243358129
5,7289,0.22821814,0.7865276443956647,22.821814,78.65276443956647,55.830950856192445,1.0154091392136024
6,7289,0.36366555,0.6869255041843875,36.366554,68.69255041843874,32.325996158184836,0.8868225292242295
7,7289,0.5907494,0.8371518726848676,59.07494,83.71518726848676,24.640247540703555,1.0807651434643994
8,7289,0.6136002,0.8285087117574427,61.36002,82.85087117574427,21.490851491906383,1.069606801275239
9,7289,0.6387412,0.8272739744820963,63.87412,82.72739744820963,18.85327864327799,1.0680127523910732
10,7289,0.70865285,0.862121004252984,70.86529,86.2121004252984,15.346812644536683,1.1130003542330853
